LevelID,Food Cooked at Fast Speed,Food Cooked at Medium Speed,Food cooked at Slow Speed,Food Cooked at Fast Speed (Cooking Time-Second),Food Cooked at Medium Speed(Cooking Time-Second),Food cooked at Slow Speed (Cooking Time-Second),Food Cooked at Fast Speed (Food Spawn Rate),Food Cooked at Medium Speed (Food Spawn Rate),Food cooked at Slow Speed (Food Spawn Rate),Food Cooked at Fast Speed (Cooking Range),Food Cooked at Medium Speed (Cooking Range),Food cooked at Slow Speed (Cooking Range),Number of Food Items on a Grill(random places),frequency of foods being spwan,Level Up Criteria,Level Down Criteria,Poimt Per Correct For Just-İn-Time-Clicks,Point Per Undercooked & Overcoocked,Penaly Point
1,0,0,1,0,0,5,0,0,100,"0,00","0,00","0,30",3,4,10,2,100,50,25
2,0,0,1,0,0,5,0,0,100,"0,00","0,00","0,27",4,4,10,2,100,50,25
3,0,0,1,0,4,5,0,0,100,"0,00","0,00","0,24",4,4,10,2,100,50,25
4,0,0,1,0,4,5,0,0,100,"0,00","0,00","0,22",4,4,10,2,100,50,25
5,0,0,1,0,4,5,0,0,100,"0,00","0,00","0,20",5,4,10,2,100,50,25
6,0,1,1,3,4,5,0,30,70,"0,00","0,18","0,18",5,4,10,2,100,50,25
7,0,1,1,3,4,5,0,50,50,"0,00","0,16","0,16",5,4,10,2,100,50,25
8,0,1,1,3,4,5,0,50,50,"0,00","0,15","0,14",5,4,10,2,100,50,25
9,0,1,1,3,4,5,0,50,50,"0,00","0,13","0,13",6,4,10,3,100,50,25
10,0,1,1,3,4,5,0,70,30,"0,00","0,12","0,12",7,4,10,3,100,50,25
11,0,1,1,3,4,5,0,70,30,"0,00","0,11","0,10",8,4,10,3,100,50,25
12,1,1,1,3,4,5,20,40,40,"0,00","0,10","0,09",9,4,10,3,100,50,25
13,1,1,1,3,4,5,20,40,40,"0,10","0,09","0,08",9,4,10,3,100,50,25
14,1,1,1,3,4,5,33,33,33,"0,09","0,08","0,08",9,4,10,3,100,50,25
15,1,1,1,3,4,5,33,33,33,"0,08","0,07","0,07",9,4,10,3,100,50,25
16,1,1,1,3,4,5,33,33,33,"0,07","0,06","0,06",9,4,10,3,100,50,25
17,1,1,1,3,4,5,60,20,20,"0,07","0,06","0,06",9,4,10,3,100,50,25
18,1,1,1,3,4,5,60,20,20,"0,06","0,05","0,05",9,4,10,3,100,50,25
19,1,1,1,3,4,5,60,20,20,"0,05","0,05","0,05",9,4,10,3,100,50,25
20,1,1,1,3,4,5,60,20,20,"0,05","0,04","0,04",9,4,10,3,100,50,25
21,1,1,1,3,4,5,80,10,10,"0,04","0,04","0,04",9,4,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,04","0,03","0,03",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,03","0,03","0,03",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,03","0,03","0,03",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,03","0,02","0,02",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,03","0,02","0,02",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,02","0,02","0,02",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,02","0,02","0,02",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,02","0,02","0,02",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,02","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,02","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,01",9,3,10,3,100,50,25
22,1,1,1,3,4,5,80,10,10,"0,01","0,01","0,00",9,3,10,3,100,50,25
